old                                      new
00ba80161844865a160162c108f236c9417b0089 0dd396bca4ccbfdafc0e7b3bc46b8498b76fcedc
00e261d58467628e2b7f166d4eb03803ca5bccce 4eb2e57c862bd22210410988deca8fef81d441fd
010c005021663e327b5625bc6a20cc37acf6eb97 fe9542c707820ac892c63e7c016054c53968c472
023e8698eda35aaaf9bbcea3b76dbbc26b2ab7b6 1019703591abf6822fc57b9ced28694e84973ac2
04436b08cf60471cc4535d09b5cb4b8e3300b51e c061075ce8d584177f9d0cd35a0392f4541fe03e
048aab4b3132f83c864f1f19748483f321ad0bb6 22de7f77aed478d86ede23470a8f60e4dcac0ec9
06187d107e05f388d9482f3c7e672405896ad5ed eb1ee068de3cc74ad0af4174e0e8a19dc412e3d9
065f27bbf34fcc137ea939c0d71ae771a5a6efd4 36f5f3034afb122d739d267154f01d3e0f1a02af
0718e1df67ad907e8542089031b02f35aa757fcf 153937c15a2b7d623f4be57508e80e6dc91e1a86
080a521fa66d702450a98be8c1daf2c4968a8a51 c8f72d412a12c2a27922ed89eec7b329564d5010
08308f233af4d6e32f589abc00035162460d69a1 3f14e507ab758e7c026e81fee51f55ec0e66706b
08b69295755acc841e414c349844d127add16a7a b35996abfa027395d766569ec8745d1d4d162bfd
09216830da751cabb23ed55c8d1cdb0cdcb00256 06023de72d2458bbf728db63d918b2980d03dd94
092df9facdb3f03092802ed4e5489b708439a1f0 e59979f4a2c0a95cff0e84db12f74e44327f36a5
09504ba73f6c7cd22d239fece6a41e0328e355a5 d127baa7f761151a738e2b0ec2af1ba386cf9a88
09e2b610807ce2b1ec8598abc02d2741681715be 64d45ae913addc1411e3e7a5c6894bb566c65a7f
0b1068aa7fe2e15c55c451c99403047ccf35519f b6a6728626ead0bc45a7aebc080c43dfd1e93207
0c8007c2fbce83406a325447ff5edebd2b74c517 ed704ea132cfda21975033b858778ce0ba40bebe
0cf7b11a9bb12f759f52fb150ce3fafe7bb43af2 0ff5aebfb52560557d755a5666fb08f54de3c927
107a33f9092c084316769b719956a5e3a51ec55b b6bfe57e7e9fc23da29550d25537943d1d7f8f02
10bee8b5a38548245d6a8e8e0db391990a0cdb22 1bb0d5df5e6f0b762739c40f9a0c5c0a03bc62d1
11ee45e47bd1352b1684fb62d3063f54ebe41c36 3b168e1b3f5607bbceed55fdbb324015998d6c9e
13dc5759c4eb2d742fd713b4a03cd17fc7675c87 7cf7f04bbe83f7c667a4cbe01c05b785d91df0a4
144e8be73c934e8b922ae488de70744a25a64566 041cd2852355d0bf48331fb6f320d0d339d3cd4e
1465e4468b9f235549a4beaf25082185353ca35e e29be660dfc1a6e76df55ec8767917d7c5f0554c
15020a76f84ed91d18202cd9d601817374b69772 aeac2f37e2800a591c580116b0f4f36d23767ebf
1535e22d5fd5ee69427fd6a39d5221e4ada16444 f383748c4afd2bfe756e484b8da5530cce4c4f7e
1584f667294744b697023a57d1a37cdf039f33ac c01e90e2422209dd826b883db71fe3b91fcf729b
163e1f96e9fcc9dc0d2dcef9ab4cb664e4d97076 f1cf64caedf02d16af43b2e96559b36d11f25316
